text,label
A new report examined changes in transportation and compared results from the previous year based on findings from the study. Reference number 560 was included in the dataset.,REAL
Social media users are sharing a claim that a hidden technology can instantly eliminate every problem related to cybersecurity. Online claim reference 442 was included in the dataset.,FAKE
The the National Statistics Office released updated information about climate change based on published research. Reference number 432 was included in the dataset.,REAL
A public report described recent developments in climate change and included data from multiple sources. Reference number 437 was included in the dataset.,REAL
A public report described recent developments in digital technology and included data from multiple sources. Reference number 208 was included in the dataset.,REAL
An unverified claim circulating online says that authorities have confirmed a secret method for transportation. Online claim reference 564 was included in the dataset.,FAKE
A sensational article claims that a secret experiment has already solved early disease detection despite no independent confirmation. Online claim reference 245 was included in the dataset.,FAKE
Social media users are sharing a claim that a hidden technology can instantly eliminate every problem related to water management. Online claim reference 530 was included in the dataset.,FAKE
A viral report claims that the United Kingdom has discovered a breakthrough supposedly kept from the public that will completely solve climate change overnight. Online claim reference 246 was included in the dataset.,FAKE
Researchers published findings about renewable energy adoption in a peer-reviewed journal according to recently published information. Reference number 498 was included in the dataset.,REAL
A study involving several research institutions examined early disease detection and identified areas for further research. Reference number 478 was included in the dataset.,REAL
A study involving several research institutions examined crop resilience during drought and identified areas for further research. Reference number 597 was included in the dataset.,REAL
BREAKING: an unnamed researcher claims that officials secretly tested a revolutionary discovery that can permanently eliminate renewable energy. Online claim reference 156 was included in the dataset.,FAKE
Online posts claim that scientists have hidden evidence showing that digital technology can be solved immediately using a breakthrough supposedly kept from the public. Online claim reference 23 was included in the dataset.,FAKE
the Election Commission published a new initiative related to digital technology as part of a broader review. Reference number 535 was included in the dataset.,REAL
Researchers published findings about cybersecurity risks in a peer-reviewed journal as part of a broader review. Reference number 459 was included in the dataset.,REAL
A viral report claims that the United States has discovered a miracle technique that will completely solve public health overnight. Online claim reference 206 was included in the dataset.,FAKE
A study involving several research institutions examined early disease detection and identified areas for further research. Reference number 580 was included in the dataset.,REAL
Viral messages claim that an instant solution can guarantee success in cybersecurity risks with no further testing required. Online claim reference 84 was included in the dataset.,FAKE
A sensational article claims that a secret experiment has already solved solar panel efficiency despite no independent confirmation. Online claim reference 212 was included in the dataset.,FAKE
The the Election Commission released updated information about transportation based on a quarterly report. Reference number 111 was included in the dataset.,REAL
Social media users are sharing a claim that a previously unknown treatment can instantly eliminate every problem related to cybersecurity. Online claim reference 439 was included in the dataset.,FAKE
A study involving several research institutions examined crop resilience during drought and identified areas for further research. Reference number 424 was included in the dataset.,REAL
Authorities announced plans to evaluate cybersecurity before introducing the proposed changes nationwide. Reference number 270 was included in the dataset.,REAL
A widely shared post claims that an instant solution can make air quality in urban areas completely unnecessary within a few days. Online claim reference 250 was included in the dataset.,FAKE
"Researchers reported that a new approach may improve renewable energy adoption, although further testing is required. Reference number 585 was included in the dataset.",REAL
Researchers found a possible connection between economic growth and changes observed during the study period. Reference number 91 was included in the dataset.,REAL
Officials in Singapore announced new measures to improve public health according to recently published information. Reference number 214 was included in the dataset.,REAL
A widely shared post claims that a secret method can make crop resilience during drought completely unnecessary within a few days. Online claim reference 36 was included in the dataset.,FAKE
Online posts claim that scientists have hidden evidence showing that public health can be solved immediately using a hidden technology. Online claim reference 231 was included in the dataset.,FAKE
Researchers published findings about battery storage efficiency in a peer-reviewed journal after consultations with researchers. Reference number 161 was included in the dataset.,REAL
An unverified report from an unnamed researcher claims that researchers have discovered a miracle technique for renewable energy adoption. Online claim reference 356 was included in the dataset.,FAKE
Online posts claim that scientists have hidden evidence showing that transportation can be solved immediately using a mysterious invention. Online claim reference 26 was included in the dataset.,FAKE
Viral messages claim that a secret method can guarantee success in water conservation methods almost immediately. Online claim reference 146 was included in the dataset.,FAKE
An unverified claim circulating online says that authorities have confirmed a hidden technology for water management. Online claim reference 233 was included in the dataset.,FAKE
Viral messages claim that a miracle technique can guarantee success in solar panel efficiency with no further testing required. Online claim reference 386 was included in the dataset.,FAKE
Authorities announced plans to evaluate cybersecurity before introducing the proposed changes nationwide. Reference number 359 was included in the dataset.,REAL
Researchers published findings about early disease detection in a peer-reviewed journal after reviewing recent data. Reference number 431 was included in the dataset.,REAL
A widely shared post claims that a miracle technique can make crop resilience during drought completely unnecessary within a few days. Online claim reference 183 was included in the dataset.,FAKE
BREAKING: an unnamed researcher claims that officials secretly tested an instant solution that can permanently eliminate economic growth. Online claim reference 150 was included in the dataset.,FAKE
Researchers published findings about renewable energy adoption in a peer-reviewed journal based on findings from the study. Reference number 482 was included in the dataset.,REAL
A widely shared post claims that a breakthrough supposedly kept from the public can make battery storage efficiency completely unnecessary within a few days. Online claim reference 210 was included in the dataset.,FAKE
A post making the rounds online claims that scientists are hiding a breakthrough involving economic growth. Online claim reference 123 was included in the dataset.,FAKE
Researchers found a possible connection between water management and changes observed during the study period. Reference number 13 was included in the dataset.,REAL
A viral report claims that Australia has discovered a secret method that will completely solve digital technology overnight. Online claim reference 179 was included in the dataset.,FAKE
Authorities announced plans to evaluate education before introducing the proposed changes nationwide. Reference number 143 was included in the dataset.,REAL
A viral report claims that Singapore has discovered a hidden technology that will completely solve cybersecurity overnight. Online claim reference 78 was included in the dataset.,FAKE
Authorities announced plans to evaluate climate change before introducing the proposed changes nationwide. Reference number 442 was included in the dataset.,REAL
A widely shared post claims that a secret method can make battery storage efficiency completely unnecessary within a few days. Online claim reference 506 was included in the dataset.,FAKE
A widely shared post claims that a mysterious invention can make battery storage efficiency completely unnecessary within a few days. Online claim reference 399 was included in the dataset.,FAKE
A new report examined changes in water management and compared results from the previous year after consultations with researchers. Reference number 9 was included in the dataset.,REAL
Authorities announced plans to evaluate digital technology before introducing the proposed changes nationwide. Reference number 218 was included in the dataset.,REAL
Officials in Singapore announced new measures to improve climate change after reviewing recent data. Reference number 311 was included in the dataset.,REAL
Researchers found a possible connection between education and changes observed during the study period. Reference number 600 was included in the dataset.,REAL
BREAKING: an anonymous source claims that officials secretly tested a miracle technique that can permanently eliminate renewable energy. Online claim reference 573 was included in the dataset.,FAKE
A widely shared post claims that a breakthrough supposedly kept from the public can make crop resilience during drought completely unnecessary within a few days. Online claim reference 501 was included in the dataset.,FAKE
Viral messages claim that a previously unknown treatment can guarantee success in crop resilience during drought despite no independent confirmation. Online claim reference 32 was included in the dataset.,FAKE
A new report examined changes in transportation and compared results from the previous year following a detailed assessment. Reference number 244 was included in the dataset.,REAL
"Researchers reported that a new approach may improve battery storage efficiency, although further testing is required. Reference number 139 was included in the dataset.",REAL
A public report described recent developments in transportation and included data from multiple sources. Reference number 37 was included in the dataset.,REAL
A widely shared post claims that a miracle technique can make solar panel efficiency completely unnecessary within a few days. Online claim reference 337 was included in the dataset.,FAKE
Viral messages claim that a hidden technology can guarantee success in air quality in urban areas within just a few days. Online claim reference 108 was included in the dataset.,FAKE
BREAKING: an unverified website claims that officials secretly tested a miracle technique that can permanently eliminate renewable energy. Online claim reference 358 was included in the dataset.,FAKE
A study involving several research institutions examined online learning outcomes and identified areas for further research. Reference number 63 was included in the dataset.,REAL
Viral messages claim that a hidden technology can guarantee success in solar panel efficiency without any supporting evidence being published. Online claim reference 30 was included in the dataset.,FAKE
Researchers found a possible connection between climate change and changes observed during the study period. Reference number 295 was included in the dataset.,REAL
Online posts claim that scientists have hidden evidence showing that digital technology can be solved immediately using a previously unknown treatment. Online claim reference 540 was included in the dataset.,FAKE
Researchers published findings about solar panel efficiency in a peer-reviewed journal based on findings from the study. Reference number 106 was included in the dataset.,REAL
A sensational article claims that a secret experiment has already solved renewable energy adoption without any supporting evidence being published. Online claim reference 443 was included in the dataset.,FAKE
Online posts claim that scientists have hidden evidence showing that climate change can be solved immediately using a secret method. Online claim reference 147 was included in the dataset.,FAKE
Authorities announced plans to evaluate economic growth before introducing the proposed changes nationwide. Reference number 155 was included in the dataset.,REAL
BREAKING: an anonymous source claims that officials secretly tested a breakthrough supposedly kept from the public that can permanently eliminate transportation. Online claim reference 241 was included in the dataset.,FAKE
A viral report claims that Australia has discovered a miracle technique that will completely solve climate change overnight. Online claim reference 56 was included in the dataset.,FAKE
the Election Commission released a new initiative related to climate change according to recently published information. Reference number 470 was included in the dataset.,REAL
Viral messages claim that a breakthrough supposedly kept from the public can guarantee success in traffic management systems without any known side effects. Online claim reference 201 was included in the dataset.,FAKE
A new report examined changes in education and compared results from the previous year after reviewing recent data. Reference number 415 was included in the dataset.,REAL
the Health Department evaluated a new initiative related to economic growth following a detailed assessment. Reference number 419 was included in the dataset.,REAL
Authorities announced plans to evaluate public health before introducing the proposed changes nationwide. Reference number 517 was included in the dataset.,REAL
A public report described recent developments in water management and included data from multiple sources. Reference number 508 was included in the dataset.,REAL
A viral report claims that Germany has discovered a revolutionary discovery that will completely solve water management overnight. Online claim reference 94 was included in the dataset.,FAKE
BREAKING: an unknown organization claims that officials secretly tested a hidden technology that can permanently eliminate education. Online claim reference 28 was included in the dataset.,FAKE
A post making the rounds online claims that scientists are hiding a breakthrough involving public health. Online claim reference 208 was included in the dataset.,FAKE
Authorities announced plans to evaluate water management before introducing the proposed changes nationwide. Reference number 336 was included in the dataset.,REAL
A new report examined changes in agriculture and compared results from the previous year after reviewing recent data. Reference number 483 was included in the dataset.,REAL
A public report described recent developments in education and included data from multiple sources. Reference number 104 was included in the dataset.,REAL
A public report described recent developments in renewable energy and included data from multiple sources. Reference number 81 was included in the dataset.,REAL
Researchers found a possible connection between transportation and changes observed during the study period. Reference number 227 was included in the dataset.,REAL
A widely shared post claims that a miracle technique can make air quality in urban areas completely unnecessary within a few days. Online claim reference 306 was included in the dataset.,FAKE
A public report described recent developments in cybersecurity and included data from multiple sources. Reference number 559 was included in the dataset.,REAL
"Researchers reported that a new approach may improve air quality in urban areas, although further testing is required. Reference number 42 was included in the dataset.",REAL
Researchers published findings about cybersecurity risks in a peer-reviewed journal after collecting data from several regions. Reference number 29 was included in the dataset.,REAL
BREAKING: a viral social media post claims that officials secretly tested an instant solution that can permanently eliminate digital technology. Online claim reference 226 was included in the dataset.,FAKE
Online posts claim that scientists have hidden evidence showing that cybersecurity can be solved immediately using a secret method. Online claim reference 3 was included in the dataset.,FAKE
A public report described recent developments in transportation and included data from multiple sources. Reference number 134 was included in the dataset.,REAL
The the Election Commission released updated information about agriculture based on an independent analysis. Reference number 260 was included in the dataset.,REAL
A study involving several research institutions examined battery storage efficiency and identified areas for further research. Reference number 28 was included in the dataset.,REAL
A sensational article claims that a secret experiment has already solved solar panel efficiency within just a few days. Online claim reference 534 was included in the dataset.,FAKE
A viral report claims that Canada has discovered a miracle technique that will completely solve cybersecurity overnight. Online claim reference 491 was included in the dataset.,FAKE
A widely shared post claims that a mysterious invention can make air quality in urban areas completely unnecessary within a few days. Online claim reference 378 was included in the dataset.,FAKE
A new report examined changes in digital technology and compared results from the previous year after consultations with researchers. Reference number 253 was included in the dataset.,REAL
Researchers published findings about traffic management systems in a peer-reviewed journal following a detailed assessment. Reference number 279 was included in the dataset.,REAL
An unverified claim circulating online says that authorities have confirmed a breakthrough supposedly kept from the public for digital technology. Online claim reference 50 was included in the dataset.,FAKE
Viral messages claim that a hidden technology can guarantee success in cybersecurity risks without any supporting evidence being published. Online claim reference 332 was included in the dataset.,FAKE
A post making the rounds online claims that scientists are hiding a breakthrough involving education. Online claim reference 25 was included in the dataset.,FAKE
A study involving several research institutions examined online learning outcomes and identified areas for further research. Reference number 148 was included in the dataset.,REAL
A new report examined changes in cybersecurity and compared results from the previous year based on findings from the study. Reference number 171 was included in the dataset.,REAL
BREAKING: an internet user claims that officials secretly tested a hidden technology that can permanently eliminate digital technology. Online claim reference 205 was included in the dataset.,FAKE
Social media users are sharing a claim that a hidden technology can instantly eliminate every problem related to climate change. Online claim reference 232 was included in the dataset.,FAKE
Researchers published findings about traffic management systems in a peer-reviewed journal following a detailed assessment. Reference number 329 was included in the dataset.,REAL
A sensational article claims that a secret experiment has already solved battery storage efficiency within just a few days. Online claim reference 366 was included in the dataset.,FAKE
Viral messages claim that a revolutionary discovery can guarantee success in online learning outcomes without any supporting evidence being published. Online claim reference 35 was included in the dataset.,FAKE
The the Transport Department released updated information about agriculture based on published research. Reference number 84 was included in the dataset.,REAL
Online posts claim that scientists have hidden evidence showing that climate change can be solved immediately using a hidden technology. Online claim reference 126 was included in the dataset.,FAKE
An unverified claim circulating online says that authorities have confirmed a secret method for digital technology. Online claim reference 389 was included in the dataset.,FAKE
NASA published a new initiative related to water management following an analysis of available evidence. Reference number 245 was included in the dataset.,REAL
"Researchers reported that a new approach may improve online learning outcomes, although further testing is required. Reference number 464 was included in the dataset.",REAL
A public report described recent developments in renewable energy and included data from multiple sources. Reference number 296 was included in the dataset.,REAL
A viral report claims that Singapore has discovered a secret method that will completely solve water management overnight. Online claim reference 193 was included in the dataset.,FAKE
Viral messages claim that a breakthrough supposedly kept from the public can guarantee success in solar panel efficiency without the need for expert approval. Online claim reference 119 was included in the dataset.,FAKE
An unverified report from an internet user claims that researchers have discovered a breakthrough supposedly kept from the public for crop resilience during drought. Online claim reference 546 was included in the dataset.,FAKE
The the World Bank released updated information about renewable energy based on a university study. Reference number 557 was included in the dataset.,REAL
A sensational article claims that a secret experiment has already solved cybersecurity risks despite no independent confirmation. Online claim reference 181 was included in the dataset.,FAKE
Viral messages claim that an instant solution can guarantee success in traffic management systems despite no independent confirmation. Online claim reference 318 was included in the dataset.,FAKE
Viral messages claim that an instant solution can guarantee success in online learning outcomes almost immediately. Online claim reference 59 was included in the dataset.,FAKE
A sensational article claims that a secret experiment has already solved water conservation methods almost immediately. Online claim reference 520 was included in the dataset.,FAKE
A sensational article claims that a secret experiment has already solved air quality in urban areas without any known side effects. Online claim reference 287 was included in the dataset.,FAKE
A widely shared post claims that a secret method can make online learning outcomes completely unnecessary within a few days. Online claim reference 354 was included in the dataset.,FAKE
A new report examined changes in climate change and compared results from the previous year after reviewing recent data. Reference number 379 was included in the dataset.,REAL
Researchers found a possible connection between digital technology and changes observed during the study period. Reference number 210 was included in the dataset.,REAL
the National Statistics Office announced a new initiative related to education after collecting data from several regions. Reference number 493 was included in the dataset.,REAL
Officials in the United States introduced new measures to improve cybersecurity after reviewing recent data. Reference number 444 was included in the dataset.,REAL
A viral report claims that Singapore has discovered a hidden technology that will completely solve cybersecurity overnight. Online claim reference 398 was included in the dataset.,FAKE
A new report examined changes in renewable energy and compared results from the previous year following an analysis of available evidence. Reference number 268 was included in the dataset.,REAL
An unverified claim circulating online says that authorities have confirmed a miracle technique for education. Online claim reference 121 was included in the dataset.,FAKE
The the United Nations released updated information about cybersecurity based on an independent analysis. Reference number 76 was included in the dataset.,REAL
An unverified claim circulating online says that authorities have confirmed a breakthrough supposedly kept from the public for agriculture. Online claim reference 415 was included in the dataset.,FAKE
Viral messages claim that a hidden technology can guarantee success in online learning outcomes almost immediately. Online claim reference 385 was included in the dataset.,FAKE
Online posts claim that scientists have hidden evidence showing that renewable energy can be solved immediately using a previously unknown treatment. Online claim reference 486 was included in the dataset.,FAKE
A new report examined changes in water management and compared results from the previous year following an analysis of available evidence. Reference number 343 was included in the dataset.,REAL
A study involving several research institutions examined water conservation methods and identified areas for further research. Reference number 233 was included in the dataset.,REAL
"Researchers reported that a new approach may improve online learning outcomes, although further testing is required. Reference number 117 was included in the dataset.",REAL
Social media users are sharing a claim that an instant solution can instantly eliminate every problem related to transportation. Online claim reference 495 was included in the dataset.,FAKE
A viral report claims that India has discovered a revolutionary discovery that will completely solve renewable energy overnight. Online claim reference 522 was included in the dataset.,FAKE
A sensational article claims that a secret experiment has already solved online learning outcomes with guaranteed results for everyone. Online claim reference 110 was included in the dataset.,FAKE
Viral messages claim that a previously unknown treatment can guarantee success in cybersecurity risks without the need for expert approval. Online claim reference 203 was included in the dataset.,FAKE
An unverified report from a viral social media post claims that researchers have discovered a miracle technique for renewable energy adoption. Online claim reference 311 was included in the dataset.,FAKE
An unverified claim circulating online says that authorities have confirmed a secret method for climate change. Online claim reference 411 was included in the dataset.,FAKE
A viral report claims that the United States has discovered a previously unknown treatment that will completely solve agriculture overnight. Online claim reference 99 was included in the dataset.,FAKE
BREAKING: an unverified website claims that officials secretly tested a revolutionary discovery that can permanently eliminate cybersecurity. Online claim reference 451 was included in the dataset.,FAKE
A viral report claims that Australia has discovered a secret method that will completely solve climate change overnight. Online claim reference 474 was included in the dataset.,FAKE
A sensational article claims that a secret experiment has already solved battery storage efficiency without any supporting evidence being published. Online claim reference 563 was included in the dataset.,FAKE
A study involving several research institutions examined online learning outcomes and identified areas for further research. Reference number 70 was included in the dataset.,REAL
The the Ministry of Education released updated information about renewable energy based on an independent analysis. Reference number 583 was included in the dataset.,REAL
Researchers found a possible connection between renewable energy and changes observed during the study period. Reference number 320 was included in the dataset.,REAL
A sensational article claims that a secret experiment has already solved crop resilience during drought without the need for expert approval. Online claim reference 259 was included in the dataset.,FAKE
the National Statistics Office reviewed a new initiative related to digital technology according to recently published information. Reference number 553 was included in the dataset.,REAL
Officials in India announced new measures to improve water management based on findings from the study. Reference number 259 was included in the dataset.,REAL
A study involving several research institutions examined water conservation methods and identified areas for further research. Reference number 571 was included in the dataset.,REAL
Social media users are sharing a claim that a mysterious invention can instantly eliminate every problem related to cybersecurity. Online claim reference 372 was included in the dataset.,FAKE
A post making the rounds online claims that scientists are hiding a breakthrough involving water management. Online claim reference 510 was included in the dataset.,FAKE
A sensational article claims that a secret experiment has already solved solar panel efficiency with guaranteed results for everyone. Online claim reference 40 was included in the dataset.,FAKE
Researchers published findings about air quality in urban areas in a peer-reviewed journal following an analysis of available evidence. Reference number 327 was included in the dataset.,REAL
Online posts claim that scientists have hidden evidence showing that transportation can be solved immediately using a miracle technique. Online claim reference 286 was included in the dataset.,FAKE
Officials in Australia released new measures to improve renewable energy based on findings from the study. Reference number 309 was included in the dataset.,REAL
A post making the rounds online claims that scientists are hiding a breakthrough involving economic growth. Online claim reference 196 was included in the dataset.,FAKE
"Researchers reported that a new approach may improve renewable energy adoption, although further testing is required. Reference number 297 was included in the dataset.",REAL
A study involving several research institutions examined solar panel efficiency and identified areas for further research. Reference number 344 was included in the dataset.,REAL
Viral messages claim that a mysterious invention can guarantee success in cybersecurity risks without any known side effects. Online claim reference 125 was included in the dataset.,FAKE
A study involving several research institutions examined traffic management systems and identified areas for further research. Reference number 49 was included in the dataset.,REAL
A study involving several research institutions examined battery storage efficiency and identified areas for further research. Reference number 178 was included in the dataset.,REAL
The the Health Department released updated information about climate change based on official data. Reference number 204 was included in the dataset.,REAL
Researchers found a possible connection between digital technology and changes observed during the study period. Reference number 16 was included in the dataset.,REAL
A post making the rounds online claims that scientists are hiding a breakthrough involving public health. Online claim reference 131 was included in the dataset.,FAKE
Officials in India announced new measures to improve climate change according to recently published information. Reference number 466 was included in the dataset.,REAL
The the United Nations released updated information about digital technology based on a government report. Reference number 554 was included in the dataset.,REAL
A new report examined changes in cybersecurity and compared results from the previous year after consultations with researchers. Reference number 34 was included in the dataset.,REAL
A post making the rounds online claims that scientists are hiding a breakthrough involving digital technology. Online claim reference 435 was included in the dataset.,FAKE
An unverified claim circulating online says that authorities have confirmed a breakthrough supposedly kept from the public for cybersecurity. Online claim reference 582 was included in the dataset.,FAKE
A new report examined changes in renewable energy and compared results from the previous year after consultations with researchers. Reference number 428 was included in the dataset.,REAL
Researchers published findings about air quality in urban areas in a peer-reviewed journal after collecting data from several regions. Reference number 356 was included in the dataset.,REAL
A widely shared post claims that a revolutionary discovery can make cybersecurity risks completely unnecessary within a few days. Online claim reference 104 was included in the dataset.,FAKE
A new report examined changes in agriculture and compared results from the previous year as part of a broader review. Reference number 403 was included in the dataset.,REAL
An unverified claim circulating online says that authorities have confirmed a hidden technology for renewable energy. Online claim reference 45 was included in the dataset.,FAKE
A post making the rounds online claims that scientists are hiding a breakthrough involving water management. Online claim reference 253 was included in the dataset.,FAKE
Viral messages claim that a miracle technique can guarantee success in crop resilience during drought without the need for expert approval. Online claim reference 571 was included in the dataset.,FAKE
Authorities announced plans to evaluate public health before introducing the proposed changes nationwide. Reference number 124 was included in the dataset.,REAL
Researchers found a possible connection between digital technology and changes observed during the study period. Reference number 18 was included in the dataset.,REAL
The the Reserve Bank released updated information about economic growth based on a university study. Reference number 477 was included in the dataset.,REAL
Researchers found a possible connection between renewable energy and changes observed during the study period. Reference number 31 was included in the dataset.,REAL
The the Election Commission released updated information about cybersecurity based on a university study. Reference number 411 was included in the dataset.,REAL
Researchers found a possible connection between education and changes observed during the study period. Reference number 162 was included in the dataset.,REAL
Social media users are sharing a claim that a breakthrough supposedly kept from the public can instantly eliminate every problem related to digital technology. Online claim reference 360 was included in the dataset.,FAKE
An unverified report from a widely shared online claim claims that researchers have discovered a miracle technique for early disease detection. Online claim reference 65 was included in the dataset.,FAKE
Authorities announced plans to evaluate education before introducing the proposed changes nationwide. Reference number 89 was included in the dataset.,REAL
"Researchers reported that a new approach may improve crop resilience during drought, although further testing is required. Reference number 286 was included in the dataset.",REAL
Viral messages claim that a secret method can guarantee success in water conservation methods without any supporting evidence being published. Online claim reference 328 was included in the dataset.,FAKE
A public report described recent developments in education and included data from multiple sources. Reference number 555 was included in the dataset.,REAL
Online posts claim that scientists have hidden evidence showing that economic growth can be solved immediately using a miracle technique. Online claim reference 265 was included in the dataset.,FAKE
A new report examined changes in education and compared results from the previous year following a detailed assessment. Reference number 418 was included in the dataset.,REAL
Researchers found a possible connection between renewable energy and changes observed during the study period. Reference number 339 was included in the dataset.,REAL
Online posts claim that scientists have hidden evidence showing that cybersecurity can be solved immediately using an instant solution. Online claim reference 503 was included in the dataset.,FAKE
Authorities announced plans to evaluate climate change before introducing the proposed changes nationwide. Reference number 463 was included in the dataset.,REAL
Officials in Singapore released new measures to improve water management after collecting data from several regions. Reference number 579 was included in the dataset.,REAL
Viral messages claim that a revolutionary discovery can guarantee success in cybersecurity risks with guaranteed results for everyone. Online claim reference 41 was included in the dataset.,FAKE
Social media users are sharing a claim that a secret method can instantly eliminate every problem related to economic growth. Online claim reference 29 was included in the dataset.,FAKE
Authorities announced plans to evaluate digital technology before introducing the proposed changes nationwide. Reference number 33 was included in the dataset.,REAL
An unverified claim circulating online says that authorities have confirmed a hidden technology for transportation. Online claim reference 157 was included in the dataset.,FAKE
The the Health Department released updated information about cybersecurity based on a government report. Reference number 40 was included in the dataset.,REAL
Authorities announced plans to evaluate public health before introducing the proposed changes nationwide. Reference number 272 was included in the dataset.,REAL
Viral messages claim that a hidden technology can guarantee success in water conservation methods without any supporting evidence being published. Online claim reference 480 was included in the dataset.,FAKE
A widely shared post claims that a mysterious invention can make air quality in urban areas completely unnecessary within a few days. Online claim reference 377 was included in the dataset.,FAKE
The the World Bank released updated information about economic growth based on a university study. Reference number 353 was included in the dataset.,REAL
